Kalman,-1.237925450467694E7,-1.2373834989982221E7,-1.2383680821304547E7,-1.2378331595625823E7,-1.2380938588060856E7,-1.2379486528411247E7
Our-L2R(1),-1.2809283694970224E7,-1.2814789680882534E7,-1.280944095755759E7,-1.2802569287858006E7,-1.2807685442913378E7,-1.2811933105639616E7
Our-L2R(50),-1.2436453356047241E7,-1.2433590389532572E7,-1.2440610965122618E7,-1.2431188713318843E7,-1.2437865161963414E7,-1.2439011550298758E7
Mallet-L2R(50),-1.2409603270150166E7,-1.2406935702724613E7,-1.2412856708810698E7,-1.2408956400824973E7,-1.2410531609873213E7,-1.2408735928517338E7
