Kalman,-1.2380930810230207E7,-1.237155980503111E7,-1.2386446055394847E7,-1.2381035586609052E7,-1.237892939514251E7,-1.2386683208973523E7
Our-L2R(1),-1.2809711076665092E7,-1.2789033167394927E7,-1.281109102840392E7,-1.2820277769432092E7,-1.2808568295037165E7,-1.2819585123057358E7
Our-L2R(50),-1.2433851762367964E7,-1.242741714760626E7,-1.2437851615768533E7,-1.2434187726695351E7,-1.243049989467105E7,-1.243930242709862E7
Mallet-L2R(50),-1.2409899191209102E7,-1.240197440488589E7,-1.2414873196819287E7,-1.2411118539221538E7,-1.2407398024275742E7,-1.2414131790843049E7
