Kalman,-377245.5313737468,-377287.5594899618,-377024.13702358975,-377275.36711752554,-377331.34539616364,-377310.38290360104,-377058.85615600797,-377283.160361328,-377330.27338301955,-377199.9671360507,-377354.2647702203
Our-L2R(1),-382750.5457477506,-382544.6878960849,-382794.97283452295,-382595.7498286611,-383018.8638980617,-382406.6889827914,-382019.0637145301,-383292.3532071759,-382303.4500916671,-383191.5335704603,-383338.0934535508
Our-L2R(50),-378502.1034977802,-378237.1013062326,-378414.3783083226,-378539.94129166973,-378657.3326184206,-378455.3144431122,-378453.62603923166,-378486.5427053048,-378394.0573524882,-378629.8289048594,-378752.9120081605
Mallet-L2R(50),-377852.4302635856,-377872.1076558553,-377676.6947250727,-377893.6798136588,-377661.73239617876,-377956.407805662,-377659.57769290014,-377956.07200578676,-378003.09599302866,-377896.1756729852,-377948.75887472724
