Kalman,-1.0181527029301789E7,-1.018666742947529E7,-1.017758310103532E7,-1.018310722642195E7,-1.018149488669193E7,-1.0179980799643107E7,-1.0179757674754603E7,-1.0180463936895085E7,-1.0181064864574572E7,-1.0180709669791555E7,-1.0184440703734485E7
Our-L2R(1),-1.0581141917722916E7,-1.0584802401529465E7,-1.0588134899698136E7,-1.0585887701787008E7,-1.0585929338766837E7,-1.0584097927011654E7,-1.0579908764402095E7,-1.0583939098691806E7,-1.0580688085062256E7,-1.0569551429092478E7,-1.0568479531187424E7
Our-L2R(50),-1.023262414804011E7,-1.0233538841491222E7,-1.0230384887222653E7,-1.0233848179497713E7,-1.0233942566644091E7,-1.0233165237641754E7,-1.0231917773112943E7,-1.0234458382412719E7,-1.023373712619139E7,-1.0230126101265917E7,-1.0231122384920679E7
Mallet-L2R(50),-1.0198966020859418E7,-1.0201691442499852E7,-1.0195361351515684E7,-1.02003686571097E7,-1.0197873194216061E7,-1.0196607437553464E7,-1.0198612667790236E7,-1.0197627185607223E7,-1.020072482704337E7,-1.019944865122186E7,-1.020134479403675E7
