Kalman,-8838745.308835011,-8839180.84218382,-8839441.081534965,-8840797.150805177,-8840670.402655495,-8830922.626587607,-8838254.079368088,-8840694.943350526,-8840149.051476719,-8835424.306535067,-8841918.603852646
Our-L2R(1),-9152236.360304466,-9152828.113969099,-9146645.108891286,-9162784.592341034,-9160489.85455833,-9143626.450945709,-9152405.696902897,-9144808.720315298,-9152764.343849367,-9150697.217218963,-9155313.504052667
Our-L2R(50),-8894388.92253696,-8895147.97786082,-8895928.474560946,-8895892.013133917,-8894520.477526033,-8888060.950492097,-8891467.147890294,-8897295.76070116,-8895591.933978762,-8893289.415173465,-8896695.074052092
Mallet-L2R(10),-8854035.491079237,-8853860.71493898,-8855122.423898779,-8855353.36181362,-8855922.595182184,-8846276.339520033,-8852712.166344497,-8856368.002201855,-8855743.10214134,-8851626.535269443,-8857369.669481644
