Kalman,-1.0852372141588561E7,-1.0858051797306832E7,-1.0849549161714133E7,-1.0849679799496777E7,-1.0852192961929584E7,-1.0852456784348102E7,-1.0853818563049095E7,-1.0851754895207934E7,-1.085747671798533E7,-1.085120322956237E7,-1.0847537505285455E7
Our-L2R(1),-1.1109286273291934E7,-1.1121947268799424E7,-1.1103240571689503E7,-1.1107850359171152E7,-1.1113067639560279E7,-1.1106846161704428E7,-1.1111056793509498E7,-1.1103116972275391E7,-1.1120463649242403E7,-1.109926966725768E7,-1.1106003649709586E7
Our-L2R(50),-1.08820580895621E7,-1.0890302419240726E7,-1.0878933320448725E7,-1.087431418877175E7,-1.0881725591478644E7,-1.08830530197165E7,-1.0883358849920401E7,-1.0881777243940795E7,-1.0886312424592203E7,-1.0880423715916673E7,-1.0880380121594576E7
Mallet-L2R(50),-1.0868224537810704E7,-1.0874528726388486E7,-1.0865276841526566E7,-1.0866077205686314E7,-1.0866401579694498E7,-1.0868763428612435E7,-1.086957555799758E7,-1.0868216449718257E7,-1.0872202101399582E7,-1.0867089398912173E7,-1.086411408817115E7
